Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
stb,2014-05-25 16:51:23 +0000 UTC,2022-08-31 10:22:09 +0000 UTC,C,0,276,90,603,No Releases,19712
parse-server,2016-01-28 18:29:14 +0000 UTC,2022-08-31 10:26:05 +0000 UTC,JavaScript,170,3035,260,3930,2022-08-05T09:34:45Z,19701
RxAndroid,2014-08-19 03:46:38 +0000 UTC,2022-08-30 07:36:38 +0000 UTC,Java,18,171,2,341,2020-02-14T15:27:12Z,19689
redisson,2014-01-11 14:06:25 +0000 UTC,2022-08-31 09:31:32 +0000 UTC,Java,112,302,309,3705,2022-08-24T07:59:13Z,19683
tdesktop,2014-05-02 12:36:31 +0000 UTC,2022-08-31 11:16:03 +0000 UTC,C++,583,1036,775,10708,2022-08-16T06:38:19Z,19679
windows95,2018-08-23 05:04:38 +0000 UTC,2022-08-31 11:21:29 +0000 UTC,TypeScript,13,19,118,105,2022-06-26T21:05:49Z,19656
linux-command,2016-11-12 15:44:26 +0000 UTC,2022-08-31 09:36:19 +0000 UTC,Markdown,20,224,46,76,2022-08-30T09:37:07Z,19648
flink,2014-06-07 07:00:10 +0000 UTC,2022-08-31 06:15:09 +0000 UTC,Java,0,6555,0,0,No Releases,19646
locust,2011-02-17 11:08:03 +0000 UTC,2022-08-31 05:10:18 +0000 UTC,Python,81,581,8,1341,2022-08-25T15:52:36Z,19637
setup-ipsec-vpn,2016-01-07 16:44:12 +0000 UTC,2022-08-31 11:01:06 +0000 UTC,Shell,0,34,0,1108,No Releases,19632
profile-summary-for-github,2017-12-10 13:29:15 +0000 UTC,2022-08-30 22:38:56 +0000 UTC,Vue,0,25,13,61,No Releases,19619
RxJS,2012-01-07 00:31:41 +0000 UTC,2022-08-31 07:37:21 +0000 UTC,JavaScript,34,520,231,643,2016-03-07T20:25:09Z,19618
openzeppelin-contracts,2016-08-01 20:54:54 +0000 UTC,2022-08-31 09:13:16 +0000 UTC,JavaScript,67,1462,118,1325,2022-08-10T18:48:57Z,19602
homemade-machine-learning,2018-11-01 04:34:19 +0000 UTC,2022-08-31 09:50:37 +0000 UTC,Jupyter Notebook,0,2,10,14,No Releases,19580
stackedit,2013-03-24 13:46:06 +0000 UTC,2022-08-30 14:59:45 +0000 UTC,JavaScript,13,35,647,1002,2019-06-29T16:39:06Z,19559
python-telegram-bot,2015-07-07 15:30:39 +0000 UTC,2022-08-31 11:06:42 +0000 UTC,Python,95,951,24,1689,2022-08-27T11:25:57Z,19556
remote-jobs,2015-10-13 03:49:25 +0000 UTC,2022-08-31 08:46:25 +0000 UTC,JavaScript,0,971,16,104,No Releases,19525
xi-editor,2016-04-26 23:03:23 +0000 UTC,2022-08-31 08:28:17 +0000 UTC,Rust,0,664,131,397,No Releases,19525
forem,2016-11-13 23:02:13 +0000 UTC,2022-08-31 09:31:26 +0000 UTC,Ruby,0,11462,488,4370,No Releases,19518
awesome-actions,2018-10-17 17:53:45 +0000 UTC,2022-08-31 09:25:42 +0000 UTC,,0,439,14,24,No Releases,19517
masscan,2013-07-28 05:35:33 +0000 UTC,2022-08-31 02:07:15 +0000 UTC,C,11,82,321,161,2021-01-31T09:18:14Z,19501
